stock,date,title,label
ETN,2015-02-03,"Earnings Scheduled For February 3, 2015",2
ZGNX,2013-10-25,"Zogenix Shares Resume, Now at $3.20",2
EROS,2014-06-18,"F-1 from Eros Int'l Shows Offer of 7M Shares, 6.675M in Ordinary Shares, 325K Through Selling Holders",0
JWN,2016-05-13,Mid-Afternoon Market Update: Dow Tumbles 1%; Nordstrom Shares Down Following Earnings Miss,2
TCS,2017-05-23,The Container Store Sees FY17 EPS $0.25-$0.35 vs $0.22 Est.,1
NKTR,2015-02-20,5 Healthcare Stocks With The Highest EPS Growth Forecast For Next 5 Years,1
GGP,2010-05-07,Simon Property (SPG) Makes A Final Offer Of $20 Per Share For General Growth (GGP),0
ELGX,2014-09-29,Stocks Continue Lower On Merger Monday,0
RLI,2011-12-15,"Visa, Ross Stores and Five Other Stocks Worth a Look Now",1
DG,2011-12-07,Dollar General Corporation Announces Pricing of 25.0 Million Share Secondary Offering at $39/Share,1
JCI,2011-07-19,Piper Jaffray Maintains Overweight on Johnson Controls,1
SNY,2016-09-30,"Chardan Rates Regeneron A Sell, Advises Caution",1
HBAN,2015-08-28,Guggenheim Securities Upgrades Huntington Bancshares to Buy,1
TOL,2011-11-15,"Homebuilders Are Holding Up, How Much Is Left In The Tank?",2
STLD,2017-03-16,"Nucor Shares Up 3.5% Following Strong Q1 Guidance; Watch Other Steel Names for Upside: US Steel, AK Steel, Steel Dynamics",0
TM,2011-10-12,Top 4 Large-Cap Stocks In The Auto Manufacturers-Major Industry With The Highest Operating Margin,1
TOL,2016-04-11,"Barron's Says Toll Brothers' Stock Can Gain 40%, Investors Nod In Approval",0
ELGX,2016-11-01,"Endologix Reports Q3 Loss/Share $0.18 vs Est Loss/Share $0.15, Revenue $52.1M vs $51.83M Est",0
AZN,2015-02-06,"After A Blockbuster 2014, What Will 2015 Hold For Pharmaceutical M&A?",1
PCH,2014-01-30,"Buckingham Research Upgrades Potlatch Corporation to Buy, Maintains $46.00 PT",1
SNY,2016-02-25,Street Insider Reports Sanofi Could Bid for PTC Therapeutics,2
INXN,2013-08-07,InterXion Holding N.V. Reports Q2 EPS of 0.10 Euros vs 0.12 Euros Est; Revenue of  76.53M Euros vs 76.86M Euros Est,0
TM,2011-07-01,June Toyota US Vehicle Sales Fall 21.1% vs. 13% Est,1
DG,2010-08-31,DG Reports 51% Profit Growth; Raises Forecast,1
NBL,2013-12-17,"UPDATE: Noble Energy Raises Q4 2013 Volume Range, Sees 2014 Total Sales Volume from Cont. Ops. 302-322MBoE/Day",0
RUTH,2012-03-09,"Ruth's Hospitality Group Halted, News Pending",2
PRGS,2014-03-07,Mid-Afternoon Market Update: Markets Volatile Following Jobs Report as FireEye Falls on Secondary Offering,1
SNY,2011-07-11,Sanofi Divests Dermik Dermatology Unit to Valeant Pharmaceuticals International for $425M ,1
ZGNX,2012-11-08,Zogenix Says FDA Panel Will Review Zohydro on Dec. 7th,2
PRGS,2014-10-23,Progress Appoints Melissa Puls To Chief Marketing Officer,1
STLD,2013-04-17,Steel Dynamics Reported Q1 Adj. EPS $0.24,1
JWN,2010-08-19,Nordstrom Board Authorizes Stock Buy-Back (JWN),1
MKC,2014-10-02,Benzinga's Volume Movers ,1
JCI,2010-02-26,Joe Terranova Recommends JCI,1
ALSN,2014-06-03,Allison Transmission Reports Secondary Offering of 35M Shares,1
PTR,2010-08-26,PetroChina First-Half Profit Soars 29%,1
IMPV,2016-10-12,"Imperva Shares Spiking On Continued Interest By IBM, Cisco & Private Equity Firms",1
ACC,2012-07-11,"ISI Group Maintains American Campus Communities at Hold, Raises PT from $44 to $45",1
RGS,2012-04-09,Regis Posts Upbeat FQ3 Revenue,0
TAC,2015-06-30,Transalta to Install Five Tesla Powerpack Batteries In Energy Storage Project,1
COF,2017-04-17,"Cabela's Enters Into Revised Transaction Agreements In Connection With Bass Pro Shops Merger, Says Cabela's Shareholders To Receive $61.50/Share",2
TM,2012-01-09,Toyota Launches New Hybrid Prius Sedan In Indian Market,1
LEDS,2014-04-14,"SemiLEDS Corporation Reports Q2 EPS of $(0.21), Inline; Revenue of $4.20M vs $4.47M Est",1
EROS,2017-04-06,Eros Int'l Shares Down ~1% Over Last Few Mins as Hearing Traders Circulting Negative Seeking Alpha Article,0
WAT,2010-07-26,Huge Call Purchase on Waters Corp. (WAT),2
PTR,2016-04-13,Benzinga's Volume Movers,1
TM,2010-05-05,Toyota Re-configures Its Marketing Department (TM ) ,1
AZN,2016-10-04,AstraZeneca Drug Trial Failure Has Major Implications To Its Pipeline,1
ADI,2013-12-04,"Oppenheimer Initiates Coverage on Analog Devices, Inc. at Outperform, Announces $58.00 PT",1
PRGS,2012-03-28,Progress Software's CFO to Leave,0
TEO,2012-01-12,Morgan Stanley Initiates Telecom Argentina at Overweight,2
APWC,2016-11-11,"Asia Pacific Wire & Cable Company Announces Dividend Policy, Intends To Pay Cash Dividend Of At LEast 25% Net Post-Tax Consolidated Profits To SHareholder",1
JWN,2014-11-04,UPDATE: Brean Capital Initiates Coverage On Nordstrom On Prototype Retail Strategy,1
TXRH,2010-10-07,"Benzinga's Top Upgrades (CRM, ANN, TXRH, VE)",1
KEY,2017-09-14,Bernstein Upgrades KeyCorp to Outperform,1
SNV,2015-07-21,Synovus Financial Reports Q2 EPS $0.42 Vs Exp $0.39,1
TOL,2011-03-14,"Benzinga's Top Downgrades (SCG, LVS, TOL, OPEN)",1
STLD,2012-06-18,UPDATE: Steel Dynamics Provides Q2 2012 Earnings Guidance: $0.15-0.20 vs $0.24 Est,2
GD,2010-09-17,General Dynamics Awarded $68 Million Contract,2
PAG,2014-02-21,Still On Top: Eight Of The Longest-Serving CEOs,1
UFI,2010-11-04,"Top Performing Industries For November 4 (UFI, SVM, TARM, SCCO)",2
G,2012-05-02,Earnings Scheduled For May 2,0
CBG,2012-08-21,"Option Alert: CB Richard Ellis Put Volume at 2,187% of Average; Currently $18.20",1
OMED,2013-12-04,UPDATE: Jefferies Reiterates on OncoMed Pharmaceuticals as CELG Collaboration Validates OMED's Platform and Pipeline,0
GGP,2011-12-21,Notable Call Options Activity in General Growth Properties,1
GGP,2013-02-15,Dividends Show Herbalife Won't Bury Ackman,1
IVZ,2011-01-18,"Citigroup Jockeys Ratings on Brokers & Asset Managers (AB, JNS, IVZ)",1
ETN,2017-10-10,"Eaton Reports Facilities In Puerto Rico Have Now Returned To Operation; Co. Sees Negative $0.03/Share Impact On Net Income, Operating EPS In Q3",1
SNY,2016-07-29,"Sanofi Reports Q2 EPS E$1.31 Does Not Compare To Est. $0.72, Rev. E$8.868B vs. Est. $10B",2
ACC,2011-07-26,American Campus Communities Sees 2011 FFO of $1.77-$1.82 vs. $1.76 Est.,1
SNY,2010-06-07,"Late Market Roundup (SNY, FIATY.PK, T)",1
STRA,2011-01-10,"For-Profit Education Stocks Whacked (STRA, CECO, COCO, DV, APOL) ",2
TOL,2014-09-03,Toll Brothers Inc. Reports Q3 EPS of $0.53 vs $0.45 Est; Revenue of $1.06B vs $989.29M Est,0
JWN,2014-11-14,Morning Market Movers,1
KANG,2017-03-14,Benzinga's Option Alert Recap From March 14,0
TM,2016-02-05,"Credit Suisse Global Focus List Update: Toyota Out, Agnico Eagle In",0
WAT,2011-02-14,President Obama's FY2012 Budget Details Released,1
HALO,2012-09-26,"Benzinga's M&A Chatter for Wednesday September 26, 2012",1
GGP,2011-11-17,"Andrew Silberfein Named President and Chief Executive Officer of Rouse Properties, Inc.",0
MKC,2015-07-01,"McCormick Posts Upbeat Q2 Earnings, Lifts FY15 Earnings Forecast",2
NBL,2017-05-02,Noble Energy Reports Sale of Upstream Appalachia Nat-Gas Assets to Undisclosed Buyer for $1.225B,0
GFA,2013-10-21,"Stocks to Watch for October 21, 2013",1
GWPH,2014-10-22,GW Pharmaceuticals Epidiolex Receives Orphan Designation from EMA for Treatment of Dravet Syndrome ,0
SNY,2017-07-21,Sanofi and Regeneron's Dupixent for Severe Eczema Recommended for Approval by the EU Medicines Agency,1
RGLD,2016-01-15,Benzinga's Top Downgrades,0
TOL,2015-11-09,"Toll Brothers Reports Prelim Q4 Rev. $1.44B vs. Est. $1.43B, FY15 Rev. $4.17B vs. Est. $4.17B",0
JCI,2015-01-22,"10 Must Watch Stocks for January 22, 2015",1
AGEN,2011-10-18,"Agenus Halted, Circuit Breaker Trigger",2
MKC,2010-12-06,"Dividend Stocks: Becton, McCormick",1
AEG,2015-09-24,Benzinga's Top Upgrades,1
NAV,2014-09-03,Navistar Expecting Q4 Adj. EBITDA in $115-165M Range,0
KAI,2015-11-04,"Kadant Lowers FY15 Rev. From $395-$400M To $388-$90M, EPS $3.05-$3.11 To $2.95-$2.98",1
IVZ,2011-06-10,Sterne Agee Maintains Neutral on Invesco,1
JWN,2016-12-01,"Department Stores Stocks Trading Up: Kohl's, JC Penney, Macy's, Dillard's Up 3%, Nordstrom 2.5%, Target 1%",1
GD,2017-02-02,Hearing NBC Reporting Pres Trump Has Said Military Action on the Table Against Iran; Watch Defense Stocks Here,1
CCIH,2014-06-09,"Option Alert: Chinacache Nov $22.5 Call; 4,361 Contracts Traded vs 12 OI; Currently $13.41",1
ACC,2016-09-07,Did You Know There's A Student Housing REIT?,1
GGP,2011-04-19,"REITs Off Earlier Highs, Warning Sign? (IYR, GGP, SPG, VNO)",1
PGRE,2015-10-23,Is San Francisco Real Estate Losing Steam?,1
GD,2010-10-27,"Company News for October 27, 2010 - Corporate Summary",2
NYCB,2013-07-24,New York Community Bancorp Reports Q2 EPS of $0.30 vs $0.26 Est,0
NNI,2011-03-04,KBW Discusses Nelnet Earnings (NNI),0
PNNT,2016-07-27,DA Davidson Downgrades Pennant Park Investment to Neutral,2
NBL,2012-12-10,Benzinga's Top Downgrades,0
ADI,2012-08-21,"Earnings Scheduled For August 21, 2012",1
PRGS,2016-09-13,"Ladenburg Downgrades Progress Software, Cites Valuation",0
COF,2016-07-21,"Earnings Scheduled For July 21, 2016",1
SNY,2011-02-15,Sanofi-aventis and Sunnybrook Health Sciences Centre to Develop Treatment for Diabetic Foot Ulcers,2
JCI,2012-04-23,"Jefferies & Company Maintains Johnson Controls at Hold, Raises PT from $35 to $36",1
CBG,2010-04-08,Profits Taken in CB Richard Ellis,2
MKC,2017-06-29,"McCormick Reports Q2 Adj. EPS $0.82 vs $0.76 Est., Sales $1.114B vs $1.1B Est.",0
ACC,2013-10-30,Five Star Stock Watch: American Campus Communities,1
RENN,2012-03-01,Renren Spiking Higher on Heavy Volume; Currently at $5.64,1
SPB,2017-03-14,"Benzinga's Top Upgrades, Downgrades For March 14, 2017",1
SYNL,2013-09-16,Synalloy Reports Launch of 1.5M Share Stock Offering,1
SNV,2015-12-03,Synovus Financial Raises Qtr. Dividend from $0.10 to $0.12/Share,0
COF,2011-01-19,JP Morgan Raises PT On Capital One,1
CDXS,2011-11-01,Codexis Sees 2011 Revenue $120M vs $122M Est,1
GD,2010-11-26,Lockheed Sells EIG Business - Analyst Blog,1
OVBC,2017-04-27,"Ohio Valley Banc Reports Q1 EPS $0.69 Flat vs Same Qtr. Last Year, NII $10.865M",1
GD,2011-01-14,"Deutsche Banks' Aerospace & Defense Preview (GR, TGI, TXT, BA)",1
PERY,2013-03-21,US Stock Futures Slightly Lower Ahead Of Economic Data,2
ZGNX,2015-03-10,"PREVIEW: Pernix, Zogenix to Resume Trading at 4:35 PM ET",0
ADI,2017-08-30,"8 Stocks To Watch For August 30, 2017",2
JWN,2015-04-21,Top 4 NYSE Stocks In The Apparel Stores Industry With The Highest EPS,1
ADI,2011-01-03,"Boeing: Analysts' Upgrades, Downgrades",1
SNY,2010-12-13,Sanofi-Aventis Extends Offer For Genzyme,1
G,2012-05-03,UPDATE: Bank of America Raises Genpact Limited's PO,1
JWN,2015-08-14,Nordstrom Succeeding In A Dying Brick-And-Mortar World,1
DKS,2017-08-15,18 Biggest Mid-Day Losers For Tuesday,0
TXRH,2010-02-01,"Top 5 Stocks For February 1, 2010, (XOM, HUM, TXRH, GS,  MSFT)",2
RLJ,2013-06-19,RLJ Entertainment Chair Johnson Announces $2M Buy Plan,0
AT,2017-05-25,Mid-Morning Market Update: Markets Open Higher; Best Buy Tops Q1 Estimates,1
MTOR,2014-08-21,"8-K from Meritor Shows Will Exit Mascot Business, Expecting to Cut 170-210 Positions, Expecting Losses on Sale, Liquidation $24M",1
PNNT,2013-11-13,"PennantPark Investment Corporation Reports Q4 EPS of $0.26, Inline",1
TX,2012-09-19,Top 4 NYSE Stocks In The Steel & Iron Industry With The Highest EPS,1
YUME,2015-06-10,YuMe Launches Operations in China; Enters World's Second Largest Advertising Market With Offices in Shanghai and Beijing,2
GWPH,2014-10-14,Hearing GW Pharma CEO to Appear on CNBC's Fast Money Today,0
ELGX,2013-10-30,"Endologix, Inc. Reports Q3 EPS of $(0.14) vs $(0.05) Est; Revenue of $33.30M vs $32.47M Est",0
TOL,2012-09-21,Stocks Hitting 52-Week Highs,1
HBAN,2016-12-02,8 Stocks That Rallied Three Days On Increasing Volume,1
TXRH,2016-10-18,"Maxim Group Upgrades Texas Roadhouse, Inc. - Common Stock to Buy",1
DKS,2015-07-08,"Imperial Capital Upgrades Dicks To Buy, Predicts ~20% Upside",1
HOS,2016-03-08,Clarkson Platou Downgrades Hornbeck Offshore Servs to Sell,0
GGP,2011-09-12,Market Squeeze  09-12-2011,2
CLI,2014-03-31,"Barclays Downgrades Mack-Cali Realty Corporation to Underweight, Maintains $19.00 PT",1
ELGX,2016-12-27,Endologix Reports Temporary Hold on AFX to Resolve a Manufacturing Issue,0
TX,2010-11-04,Ternium SA Reports Weak 3Q Results,2
HOS,2015-02-03,"Credit Suisse Downgrades Hornbeck Offshore to Neutral, Lowers PT to $18.00",2
EGO,2016-07-22,7 Biggest Price Target Changes For Friday,1
DG,2014-03-13,"#PreMarket Primer: Thursday, March 13: Chinese Data Misses The Mark",1
AVY,2011-01-03,Credit Suisse Raises AVY PT To $47 From $41,0
EGO,2017-11-09,"Eldorado Gold Offers Update On Greek Investments: Will Move Skouries Development Project Into Care And Maintenance, Dialogue Has Continued With Greece's MoE Related To Development Of Co.'s Unit Hellas Gold's Kassandra Mine Assets",2
JWN,2013-08-16,"Benzinga Market Primer Friday, August 16",0
RLJ,2014-10-15,Top 4 NYSE Stocks In The REIT-Hotel/Motel Industry With The Highest Gross Margin,1
NBL,2011-02-10,Noble Energy Reports Q4 EPS of $1.04 vs. $1.01,1
CPAH,2015-07-16,"CounterPath Reports Q4 Adj. Loss of $0.03/Share vs Loss of $0.01/Share Est., Sales $3.1M vs $3.8M Est.",0
SMBC,2015-01-02,Southern Missouri Bancorp Announces 2 for 1 Split,2
COF,2012-01-19,Capital One Financial Reports Q4 Revenues $4.10B vs $4.14B Est 			,1
DKS,2012-03-05,Bank of America: Continued Strength in Athletic Footwear Supports Dick's Margin Outlook,1
TM,2013-12-03,Ford's Merkle on Auto Sales Call: Says Industrywide Auto Sales Up 7% in Nov.,1
G,2017-10-17,Genpact Wins CSO50 Information Security Award,1
NKTR,2014-01-14,Etirinotecan Pegol Passes Interim Efficacy Analysis for BEACON Pivotal Phase 3 Clinical Study in Patients with Metastatic Breast Cancer ,2
IMPV,2015-09-10,"BTIG Research Initiates Coverage on Imperva at Buy, Announces $72.00 PT",1
NBL,2011-07-25,"Noble Energy Earnings Preview: Analysts Expect Rising Revenue, Falling EPS Over Previous Quarter",1
NRP,2014-10-10,Wells Fargo Upgrades Natural Resource Partners LP to Outperform,0
AVA,2010-10-29,Zacks #5 Rank Additions for Friday  - Tale of the Tape,1
RLGT,2016-05-20,Dow Jones Reporting Plethora Of Logistics Companies Exploring Sales as Sector's Growth Slows,2
BPI,2011-09-23,Barrington Research Reiterates Bridgepoint Education Outperform,0
NBL,2012-07-02,"Barclays Maintains Noble Energy at Overweight, Lowers PT from $127 to $112",1
NKTR,2010-04-06,"Benzinga's After Hours Gainers (KEY, VANDA, NKTR)",0
RENN,2011-06-21,Should you get in on the IPOs?,0
ETN,2014-07-30,"JP Morgan Downgrades Eaton Corporation to Neutral, Lowers PT to $75.00",1
SNY,2012-12-19,Sanofi-Aventis US Agrees to Pay $109M to Resolve False Claims,1
NAV,2011-09-15,Notable Put Options Activity in Navistar International,1
NRP,2017-08-08,"Natural Resource Partners Reports Q2 EPS $1.13 Does Not Compare To $1.73 Est., Sales $94.93M vs $92.4M Est.",0
GWPH,2015-12-03,"Early Global News: American Express Expanding In Russia, Baidu To Merge Its Music Business, China Taking Big Steps To Open Market",0
AMRC,2011-09-07,Top 4 Small-Cap Stocks In The Industrial Electrical Equipment Industry With The Highest ROE,1
IMPV,2016-11-04,"Macquarie Upgrades Imperva, Inc. Common Stock to Outperform",0
EFX,2017-09-12,"Companies Holding Analyst/Investor Days Today Include Sun Hydraulics, Performance Food Group, Equifax, and Caterpillar",2
COF,2011-06-17,KBW Has Market Perform On Capital One Financial ,1
TOL,2014-08-19,Homebuilder Stocks Higher On Better Home Construction Numbers,1
TM,2013-04-02,Porsche March U.S. Vehicle Sales Increased by 4%,1
STLD,2017-02-16,UPDATE: Trump Reiterated Using American Steel for Pipeline Projects,1
SNY,2010-07-26,"Stock Market News for July 26, 2010 - Market News",1
AZN,2013-12-03,UPDATE: AstraZeneca Says Awarded Damages Will Have No Effect on 2013 Earnings,1
JCI,2011-05-18,Johnson Controls Moves To Dissolve Saft Joint Venture,1
TM,2017-05-26,"TrueCar Issues Release Highlighting Expectation for Total New Vehicle Sales 1.5295M Units in May, Up 0.3% YoY",1
MKC,2013-06-27,US Stock Futures Up Ahead Of Economic Data,1
GWPH,2013-10-07,Morning Market Movers ,2
AGRX,2016-01-21,Agile Therapeutics Announces Proposed Offering of $30M Worth Of Common Stock,0
STLD,2016-11-15,Hearing US Steel Antitrust Lawsuit Against China Thrown Out at ITC,2
BSTC,2015-11-09,"BioSpecifics Technologies Reports Q3 EPS $0.39, Sales $6.29M, no estimates",0
NBL,2010-10-28,"Noble Tops, Sales Forecast Robust - Analyst Blog",1
JWN,2015-12-07,Shares of Nordstrom Up ~$0.30 Over Last Few Mins; Stock Still Down ~1% to $56.45 for Session,1
WNS,2016-07-05,Baird Upgrades WNS Holdings From Netural to Outperform,0
JWN,2015-11-13,Morning Market Losers,2
BSTC,2014-06-30,Amended 13D Filing from Stonepine Capital on Biospecifics Technologies Shows Reduced Stake from 6.33% as of Feb. 25th to 4.9%,1
DKS,2012-06-27,"UPDATE: Dick's Sporting Says Some Suppliers are Not Selling to Amazon, Has Products That Amazon Doesn't, Positioned to Compete on the Internet",1
DG,2014-03-13,"Earnings Scheduled For March 13, 2014",1
CDXS,2016-08-09,"Codexis Reports Q2 EPS $0.12 vs. Est. $0.03, Rev. $16M vs. Est. $15.1M",1
JWN,2012-11-29,Nordstrom Nov. Comps Down 1.1%,1
DKS,2012-06-27,"Dick's Sporting Goods Reiterates Forecast on Q2, 2012; Sees 10% Operating Margin Over Next 3 Years",1
TAC,2015-09-08,Mid-Morning Market Update: Markets Open Higher; Media General To Acquire Meredith For $2.4B,0
HAFC,2014-07-11,"Hanmi Financial Announces Sale of Insurance Units to Chunha Holding, No Terms Disclosed",1
DKS,2013-11-19,From Dick's Call: Co. Expecting Continued Consumer Caution in Q4,1
CDXS,2013-08-05,Codexis Reschedules Second Quarter 2013 Financial Results ,1
ADI,2011-11-21,Analog Devices Guides Q1 EPS $0.44-0.51 vs $0.59 Est; Revenues -5% to -10% Sequentially,1
GGP,2011-08-08,Puts Purchased on General Growth Properties,0
RENN,2011-05-27,ETF Showdown: China Tech Titans,1
SNY,2010-07-02,"Benzinga’s Volume Movers (MEND, BIIB, GENZ, MIDD)",1
ALSN,2012-04-24,UPDATE: Morgan Stanley Initiates Coverage on Allison Transmission,0
FISV,2010-04-15,"New 52 Week Highs (MOD, HOG, FISV)",2
HIIQ,2017-09-15,20 Stocks Moving In Friday's Pre-Market Session,2
JWN,2013-05-16,"Nordstrom, Inc. Affirmed FY2013 EPS $3.65-3.80 vs $3.80 Est",1
TM,2016-06-06,Uber Thriving Despite Auto Industry Decline,1
G,2011-01-06,Genpact Signs Six-Year Contract Extension with Serco,0
EGO,2015-07-31,Benzinga's Top Upgrades,2
JWN,2014-08-14,"Earnings Scheduled For August 14, 2014",1
GD,2014-03-13,Top 4 NYSE Stocks In The Aerospace/Defense Products & Services Industry With The Highest Dividend Yield,1
GD,2016-10-05,General Dynamics Receives $101 Million U.S. Navy Award for Ohio Replacement Submarine Development,1
AZN,2012-06-27,A Peek Into The Market Before The Trading Starts,1
PTR,2010-12-28,Sinopec's Yuanba Endeavor - Analyst Blog,1
JCI,2016-09-06,RBC Capital Assumes Johnson Controls at Sector Perform,2
NAV,2011-09-08,Deutsche Bank Lowers PT On Navistar International To $54,1
ETN,2011-12-14,"Bank of America ""Hot In Cleveland"" with Eaton's Management",0
TRK,2017-03-03,"Macquarie Downgrades Speedway Motorsports to Underperform, Announces $16.00 Price Target",2
LEDS,2012-07-10,"Canaccord Maintains SemiLEDSoration at Hold, Lowers PT from $4 to $2.50",0
JWN,2010-07-09,Sterne Agee Reiterates Buy Rating on Nordstrom (JWN),2
NRG,2012-09-24,"Citigroup Maintains NRG Energy at Neutral, Raises PT from $17 to $24",1
JWN,2010-11-05,Nordstrom Estimates And PT Increased; 2013 And 2014 Estimates Introduced,2
DKS,2015-06-05,"Teri L. List-Stoll to join DICK'S Sporting Goods as Executive Vice President, CFO",1
HIIQ,2017-09-12,"Health Insurance Innovations Addresses 'Misleading Information In The Marketplace,' Says Co. Is Fully Cooperating With Indiana Multi-State Examination, Says Reports Of An Estimated Fine Amount Of $100M Are Based On Unstated Or Inapplicable Data Points",0
G,2011-06-08,"JP Morgan Upgrades Genpact To Neutral, Raises PT To $17",0
BORN,2011-04-14,"China New Borun Plunging, Down 7% (BORN)",0
KEY,2015-11-09,"Deutsche Bank Downgrades Keycorp, Regions Financial",1
SWM,2013-11-18,"Schweitzer-Mauduit Int'l Announces Call to Discuss Delstar Purchase, Says Price is $231.5M in Cash, Sees Deal Adding to Earnings in First Year",1
EGO,2010-12-09,"Top 4 NYSE Stocks In The Gold Industry With The Highest Operating Margin (NEM, EGO, ABX, GG)",1
TXRH,2016-11-01,Texas Roadhouse Q3 U.S. Company-Owned And Franchise Comps Up 3.4% and 3.3% Respectively,1
JCI,2011-10-13,UPDATE: Goldman Sachs Lowers PT on Johnson Controls to $40,1
CMCO,2017-08-01,"Columbus McKinnon Q1 Adj. EPS $0.55 vs $0.32 EST., sALES $203.7m VS $191.1M Est.",2
AGRX,2017-05-18,"CEO Of Corium, Exclusive Supplier Of Twirla To Agile Therapeutics, Tells Benzinga: 'My own personal sense is [Agile] should have an approvable product'",2
PRGS,2013-03-27,"Progress Software Sees Q2 Sales Growth Flat on Constant Currency Basis, Sees Adj. Oper. Margin 21-24%",1
DG,2014-07-28,Benzinga's Top Initiations,2
ADI,2011-03-30,Analog Devices Prices $375M Senior Unsecured Notes Offering   ,1
RGS,2011-06-28,Companies Presenting Today at Oppenheimers Consumer Conference,1
SBR,2015-06-09,5 NYSE Financial Stocks With The Highest Profit Margin,1
CNX,2012-05-07,"Option Alert: Consol Energy October 40 Call; Block Trade: 9,450 Contracts; Currently $34.01",2
NAV,2015-03-18,UPDATE: Morgan Stanley Downgrades Navistar International On Head-On Collision Between Consensus And Reality,1
PRGS,2011-09-27,Progress Software Reports Q3 EPS $0.31 vs $0.29 Est; Revenues $128.4M vs $128.1M Est	,1
DG,2012-12-12,UPDATE: Piper Jaffray Reduces PT to $49 on Dollar General on Lower-Income Job Growth Contraction  ,2
DKS,2010-09-14,Retail Industry Outlook - Sept. 2010 - Industry Outlook,2
SNY,2017-05-22,Regeneron and Sanofi Report FDA Approval of Kevzara for Treatment of Moderately to Severely Active RA in Adult Patients,1
EDF,2011-06-06,Benzinga Radio: Who Will Win the Battle for Germany's Energy Gap?,1
SNY,2015-11-04,Watch Out Below: 'Sluggish' MannKind Double-Downgraded By RBC Analyst,1
TM,2013-11-13,Which is the Better Investment: Honda vs. Toyota,1
GSS,2013-06-17,"Golden Star Provides Operational Update On Cost Reduction Measures, Mine Plan Re-Optimization, and Capital Realloaction",0
SNY,2017-04-06,"Benzinga's Top Upgrades, Downgrades For April 6, 2017",1
DKS,2016-03-09,"Brean Capital Maintains Buy on Dick's Sporting Goods, Raises PT to $50.00",1
GGP,2012-08-23,"Bill Ackman's Pershing Square Urges GGP to Level Playing Field for Bidders, Requests Committee Formation and Hiring Advisers; Expressed Concern on Brookfield's Plan",2
GGP,2012-01-17,"UPDATE: Stifel Nicolaus Upgrades General Growth Properties to Buy, Establishes PT of $17",2
AZN,2015-02-06,"Amid The Pfizer-Hospira Deal, Are Healthcare ETFs In Play?",1
RENN,2017-06-21,"Renren Q1 EPS $(0.24) vs $(0.34) YoY, Sales $20.9M vs $10.8M YoY",1
GFA,2010-02-02,2010 Fund Performance Period 1,2
MDU,2011-08-09,Ten Utilities Stocks Worth a Look Now,2
EGO,2012-01-27,"Benzinga's Top ETF Gainers, January 27th (BOIL, NUGT, TAN, AGQ)",2
RENN,2017-06-20,MSCI Says Will Add China A Shares To Emerging Markets Index,1
JWN,2010-02-04,"Nordstrom Same Store Sales Increase By 14% in January (JWN, M)",0
GD,2010-12-10,"Deutsche Bank: Defense Budgets Are Under Pressure (LMT, BA, GD, LLL, NOC)",1
AEG,2017-05-23,Benzinga's Option Alert Recap From May 23,1
AZN,2010-03-22,US Stock Futures Slip; Focus Shifts To Pharmaceutical Stocks,1
ACGL,2015-05-18,Arch Said To Have Made Numerous Approaches To Axis In Recent Years,2
BIOA,2015-11-16,"BioAmber Announces Interim CFO Andrew Ashworth to Leave Co., Mario Saucier Named as Replacement",0
HALO,2013-05-16,"Mid-Morning Market Update: Housing Starts Plummet, Initial Jobless Claims Rise",2
RUBI,2016-08-03,20 Biggest Mid-Day Losers For Wednesday,0
JWN,2017-11-10,"Bank of America Maintains Underperform on Nordstrom, Lowers Price Target to $35.00",2
MYOS,2017-01-25,20 Stocks Moving In Wednesday's Pre-Market Session,1
ADI,2011-10-20,"Broadcom Earnings Preview: Analysts Expect Rising Revenue, Falling EPS",0
JWN,2017-09-13,Fashion Retailer Nordstrom's New Game Plan: Don't Sell Clothes,1
GD,2013-07-12,"General Dynamics to Create 1,300 Jobs in Kentucky",1
SNY,2015-11-06,Mid-Morning Market Update: Markets Decline; Humana Earnings Beat Estimates,0
GGP,2017-10-31,"GGP Sees Q4 Adj. FFO $0.46-$0.48, Net Income $0.21-$0.23",0
DG,2010-12-01,DDR Opens Discount Stores - Analyst Blog,0
GWPH,2014-07-09,GW Pharma Shares Spike Higher at Open,1
ACGL,2017-03-02,Why Bermuda Could Be The Next Switzerland,1
PRGS,2012-01-31,Progress Software Spiking Higher on dealReporter Article,1
CBG,2013-10-11,Top 4 Mid-Cap Stocks In The Property Management Industry With The Highest Revenue,1
AZN,2010-09-17,FDA Pushes Out Brilinta Action Date - Analyst Blog,1
GWPH,2014-12-22,GW Pharmaceuticals Added to NASDAQ Biotechnology Index,1
JCI,2017-04-27,"Johnson Controls Sees Q3 EPS $0.70 to $0.73 vs $0.72 Est, FY EPS $2.60 to $2.68 vs $2.64 Est",1
DPW,2016-07-11,Digital Power Halted on CB @$0.94,0
FOXF,2013-10-02,Fox Factory Holding Announces Addition to Russell 2000 Index,1
DG,2016-05-27,Dollar General Is Still One Of The Best Retail Growth Stories,1
PAG,2011-07-29,7 Cheap Stocks Ready for a 30% Jump This Year,1
NBL,2011-12-28,Noble Energy Announces Significant Natural Gas Discovery Offshore Republic of Cyprus ,0
CLI,2011-02-14,Deutsche Bank Lowers Its Estimates On Mack-Cali Realty ,1
CPST,2013-04-08,Capstone Wins Order From DesignLine for Denver RTD Electric Bus Fleet,2
